model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_mat_norm
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,4,-2,0.3881,0.05563631848513998,0.389,0.05621063109200029,16.0,10000.0,3012.6088362082455,16,3012.6088362082455,16,16,2.5298947467739135,0.30126088362082454,625.0,6.25,907.5811999999559,6.680445625202269,16,16.0,16.0,4.0,0.20584006209942288
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,5,-2,0.29000000000000004,0.04363501296489435,0.3003,0.04535540369610238,32.0,10000.0,2516.5456483044372,32,2516.5456483044372,32,32,3.0167450428947458,0.2516545648304437,312.5,3.125,633.3001999999683,6.193595329081565,32,32.0,32.0,5.656854249492381,0.23514503269101633
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,6,-2,0.23019999999999996,0.03386220871116451,0.25839999999999996,0.038144591427146886,64.0,10000.0,2187.568513212786,64,2187.568513212786,64,64,3.4627848167680204,0.21875685132127862,156.25,1.5625,478.5455999999861,5.74755555520809,64,64.0,64.0,7.999999999999999,0.25580072485554955
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,7,-2,0.1733,0.025794523034386486,0.22209999999999996,0.03382883949772847,125.0,10000.0,2045.7326316016959,125,2045.7326316016959,16,0,3.779302118284229,0.2045732631601696,80.00000000000003,0.8,418.50220000000905,5.431038253692071,125,125.0,125.0,11.180339887498949,0.27147747897419894
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,8,-2,0.1301,0.019154855553667437,0.2015,0.032077081407764406,227.0,10000.0,1933.8283274375726,227,1933.8283274375726,13,0,4.052528691407665,0.19338283274375728,44.05286343612335,0.44052863436123346,373.9691999999816,5.157811680568497,227,227.0,227.0,15.066519173319364,0.2837564374315061
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,9,-2,0.09009999999999996,0.013256631543435954,0.19199999999999995,0.032437200965250226,369.0,10000.0,1896.5658438345872,369,1896.5658438345872,12,0,4.23958840876075,0.1896565843834587,27.10027100271003,0.27100271002710025,359.69620000000344,4.970751963215266,369,369.0,369.0,19.20937271229855,0.29416811365028234
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,10,-2,0.05940000000000001,0.008668973956998144,0.18910000000000005,0.033755527637563974,519.0,10000.0,1874.034151236311,519,1874.034151236311,12,0,4.370026199319986,0.18740341512363107,19.26782273603083,0.1926782273603083,351.20040000000705,4.840314172656155,519,519.0,519.0,22.781571499789035,0.3019408950957271
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,11,-2,0.03639999999999999,0.005459042811566119,0.18769999999999998,0.03522002313767035,649.0,10000.0,1860.7804814109588,649,1860.7804814109588,12,0,4.454832072904448,0.18607804814109588,15.40832049306626,0.15408320493066258,346.25040000000064,4.755508299071734,649,649.0,649.0,25.475478405713996,0.3072631507221114
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,12,-2,0.02200000000000002,0.0034274887836928843,0.19079999999999997,0.03685725018641147,755.0,10000.0,1852.3552575032684,755,1852.3552575032684,12,0,4.50637518649925,0.18523552575032684,13.245033112582778,0.13245033112582785,343.1220000000041,4.70396518547661,755,755.0,755.0,27.477263328068172,0.31057086811030454
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,13,-2,0.013299999999999979,0.002227863398772845,0.18989999999999996,0.03733694332932365,827.0,10000.0,1845.0891577373707,827,1845.0891577373707,12,0,4.538762558520665,0.18450891577373707,12.091898428053202,0.12091898428053202,340.43539999998245,4.671577813455598,827,827.0,827.0,28.75760768909681,0.31249979682708046
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,14,-2,0.008600000000000052,0.0014857834777616524,0.1895,0.03752167829878251,867.0,10000.0,1833.9721917193838,867,1833.9721917193838,12,0,4.568120293764739,0.18339721917193838,11.53402537485582,0.11534025374855826,336.3454000000138,4.642220078211509,867,867.0,867.0,29.444863728670917,0.31368398313957824
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,15,-2,0.006000000000000005,0.0010671109102408298,0.19199999999999995,0.038142888993187705,894.0,10000.0,1827.4495889079951,894,1827.4495889079951,12,0,4.587502013521341,0.1827449588907995,11.185682326621922,0.11185682326621924,333.95719999999073,4.622838358454698,894,894.0,894.0,29.899832775452108,0.3143507540821302
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,16,-2,0.0042999999999999705,0.0007838612647157704,0.1875,0.037443959011002476,916.0,10000.0,1816.434419405226,916,1816.434419405226,12,0,4.610752667938154,0.18164344194052257,10.917030567685584,0.1091703056768559,329.9433999999964,4.599587704037872,916,916.0,916.0,30.265491900843113,0.3148012218775563
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,17,-2,0.0031999999999999806,0.0005892586978945689,0.1884,0.03761588643955077,925.0,10000.0,1809.611560528944,925,1809.611560528944,12,0,4.623213376526207,0.1809611560528944,10.810810810810809,0.10810810810810813,327.46940000000257,4.587126995449935,925,925.0,925.0,30.4138126514911,0.31511047685641475
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,18,-2,0.0027000000000000357,0.00048034356654186593,0.19299999999999995,0.038559699025040105,933.0,10000.0,1804.0315961756323,933,1804.0315961756323,12,0,4.633611247494382,0.18040315961756323,10.718113612004291,0.10718113612004287,325.4529999999946,4.576729124481851,933,933.0,933.0,30.545048698602532,0.3152869147912837
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,19,-2,0.0020000000000000018,0.00035698146610704703,0.19110000000000005,0.03815787856001807,939.0,10000.0,1797.9838708953982,939,1797.9838708953982,12,0,4.642678857487523,0.17979838708953982,10.649627263045797,0.10649627263045795,323.2746000000064,4.567661514488611,939,939.0,939.0,30.643106892089126,0.3154818137699463
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,20,-2,0.0013999999999999568,0.00026286161644730924,0.19310000000000005,0.03860974363357376,950.0,10000.0,1786.1981972894273,950,1786.1981972894273,11,0,4.661959104477491,0.17861981972894272,10.52631578947368,0.10526315789473684,319.05039999999997,4.548381267498616,950,950.0,950.0,30.822070014844883,0.3156307055117606
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,21,-2,0.0010999999999999899,0.0001864510051439905,0.1915,0.03828530409040524,953.0,10000.0,1775.556250869006,953,1775.556250869006,11,0,4.676609287261152,0.1775556250869006,10.493179433368313,0.1049317943336831,315.25999999999897,4.533731084714919,953,953.0,953.0,30.870698080866266,0.31575168533252407
