model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_parameters,depth,width,total_epochs,weights_L2,mean_affine_mat_norm,kernel_trace,head_norm,OLS_norm
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,24,40,0.01,32,0,None,True,True,0.23650000000000004,0.029294705004405,0.3246,0.6437507383343289,19.0,206.08333333333337,92.03716791480375,68,1149.0770209172229,7,5,1.79127507080223,0.4980503237625692,206.08333333333331,4.010403138505321,1.7225980902777807,5.607936703810632,19090,1,24,50,9.767829,3.2996693,1.8265979,149.4292,1.3155554561711122
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,24,50,0.01,32,0,None,True,True,0.23050000000000004,0.028048002126475503,0.31999999999999995,0.6511240454974504,19.0,193.41666666666669,82.90508713114187,68,1200.0524988516127,7,5,1.829304538453497,0.4562467808105609,193.41666666666663,3.7735372441958663,1.4455633680555162,5.41089374815008,19090,1,24,100,9.788648,3.2571425,1.8339212,152.73956,1.3344932110220518
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,24,100,0.01,32,0,None,True,True,0.22575,0.027221654033879394,0.31779999999999997,0.6608897947023442,19.0,185.29166666666669,77.84913517324534,66,1231.6452411307405,7,5,1.8480377474725365,0.43188547382379044,185.29166666666666,3.606273469016643,1.29531293402777,5.296467036637646,19090,1,24,200,9.817153,3.1545033,1.8420016,156.7644,1.3509687775197896
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,24,300,0.01,32,0,None,True,True,0.22124999999999995,0.026279859293724266,0.31599999999999995,0.6806049574626761,19.0,176.625,72.24225016106111,64,1255.564414914663,7,5,1.873575870268616,0.4069940877948966,176.625,3.4386992857442156,1.1503068576388717,5.170299161923269,19090,1,24,500,9.903536,2.768505,1.860437,74.66496,1.3745463810540108
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,24,500,0.01,32,0,None,True,True,0.21750000000000003,0.02561739716550603,0.31579999999999997,0.7002865551357044,19.0,169.08333333333331,67.08749987060844,59,1272.6664920551652,7,11,1.9034650104847914,0.3858814584817467,169.08333333333331,3.292457710856402,1.0340590277777755,5.074458263042362,19090,1,24,1000,10.03788,2.3927407,1.8896328,65.23765,1.4221009108596199
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,24,1000,0.01,32,0,None,True,True,0.21550000000000002,0.02511395586283881,0.31820000000000004,0.7236199222010505,19.0,165.29166666666669,65.16702632040568,58,1293.219238953705,7,11,1.9099232299032112,0.376767584194819,165.29166666666663,3.227755067810719,0.9857903645833487,5.005289280807117,19090,1,24,2000,10.285554,2.0890312,1.9266859,73.853485,1.5018618497870493
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,24,1000,0.01,32,0,None,True,True,0.21475,0.02486574984960361,0.3206,0.7410835234535614,19.0,163.79166666666666,64.4269208095498,55,1301.0956920995473,7,16,1.9122945393426736,0.3732530140534702,163.79166666666666,3.1980354212477944,0.9674848090277579,4.978279667612548,19090,1,24,3000,10.514127,1.9443043,1.9532166,97.26227,1.576646967369677
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,24,3000,0.01,32,0,None,True,True,0.21099999999999997,0.024455996557775268,0.3277,0.7818317604089688,19.0,161.25,63.18282554970492,58,1312.3993294725503,7,16,1.916213964337127,0.3674221005873217,161.25,3.143003694274352,0.9374930555555279,4.94423556999568,19090,1,24,6000,11.15571,1.7468348,2.007636,109.9594,1.765035798011321
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,32,0,0.01,32,0,None,True,True,0.20274999999999999,0.048445192807943,0.31510000000000005,0.8860823805983143,31.0,555.9062499999999,274.2422710710139,1360,210.98341167020692,15,0,2.033980306820827,1.3482203315853087,555.90625,9.285142281489282,7.10038305664062,8.030402386652504,25450,1,32,0,11.826953,2.6757658,2.1124194,195.64171,1.7831106336179232
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,32,10,0.01,32,0,None,True,True,0.042749999999999955,0.015314426157954763,0.17090000000000005,0.8395577736076453,31.0,210.25,80.73587337732837,222,766.9993481092406,10,2,2.1399365912778374,0.5579532910558016,210.25,3.793240287010566,1.2160620117187508,6.429279675166803,25450,1,32,10,11.832591,2.0009062,2.1063867,340.93552,1.753253096187801
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,32,40,0.01,32,0,None,True,True,0.03025,0.012537738000908618,0.16359999999999997,0.8381019899319687,31.0,220.81250000000003,89.7965256322593,210,761.9698156751355,10,2,2.077638496847515,0.6057687264955165,220.8125,3.9956030521061523,1.4334208984375112,6.515817243783834,25450,1,32,50,11.841464,2.335567,2.1046436,742.51575,1.749336085243521
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,32,50,0.01,32,0,None,True,True,0.028000000000000025,0.011565521402469418,0.16310000000000002,0.8397131091301919,31.0,230.65625,97.67107887413499,196,754.5873044254058,10,2,2.0343181485217094,0.6577199727087509,230.65625,4.1418924946816285,1.689826416015626,6.655104235427871,25450,1,32,100,11.8521385,2.5054903,2.1030545,441.79044,1.7533833474555092
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,32,100,0.01,32,0,None,True,True,0.025499999999999967,0.010478131932771136,0.1633,0.8488970559956938,31.0,240.28125,106.84312847143002,189,765.1614208779739,10,5,1.9805071867172366,0.7149525770986492,240.28125,4.284214302237926,1.9967077636718629,6.8090610157965035,25450,1,32,200,11.871341,2.714602,2.1026256,250.33553,1.758903064549478
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,32,300,0.01,32,0,None,True,True,0.02300000000000002,0.008785833694794324,0.1622,0.8874212174774729,31.0,257.53125,122.52238714440108,185,740.5754519291063,10,5,1.90561700344263,0.817774456986766,257.53125,4.529956711989641,2.6123244628906823,7.106695978819988,25450,1,32,500,11.936505,3.0214972,2.1035335,164.88544,1.7772711014201021
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,32,500,0.01,32,0,None,True,True,0.022499999999999964,0.007947411572288446,0.16620000000000001,0.9209791071953737,31.0,258.03125,124.47560707950977,173,743.7163437763083,10,5,1.8940370305778182,0.8385719632208078,258.03125,4.512461045538233,2.746886474609397,7.189373131349301,25450,1,32,1000,12.058404,2.9673061,2.1146636,143.27422,1.794454590613401
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,32,1000,0.01,32,0,None,True,True,0.02200000000000002,0.007232710078088761,0.17310000000000003,0.9719977219297465,31.0,254.28125,123.34745529017815,172,765.745388494113,10,5,1.8930746874063573,0.8417594297066116,254.28125,4.424165705248844,2.767808349609388,7.235890828712819,25450,1,32,2000,12.324778,2.7329245,2.1481643,142.71046,1.8779587140711211
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,32,1000,0.01,32,0,None,True,True,0.021499999999999964,0.006879043830805833,0.17869999999999997,1.0083678016375062,31.0,250.78125,121.78272548503134,172,779.3869385613285,10,5,1.8945131187726882,0.8372155113828219,250.78125,4.355424957739485,2.738007080078136,7.220077336602539,25450,1,32,3000,12.580361,2.561526,2.1730564,116.829735,1.9487887471123806
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,32,3000,0.01,32,0,None,True,True,0.019750000000000045,0.00633258326991581,0.18820000000000003,1.083618083047417,31.0,248.71875000000003,121.08749983870136,171,789.6872798772943,10,5,1.892077769466331,0.8350236149355298,248.71875,4.318270595678321,2.723689208984378,7.207778998733029,25450,1,32,6000,13.282239,2.251276,2.2286115,114.84737,2.1573324077509954
