model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_unexpanded_mat_norm,mean_affine_mat_norm
forest,1,1024,8192,0,1.0,True,None,1,False,3,-2,0.287109375,0.1878559287266628,0.3016357421875,0.20015953300764128,8.0,1024.0,442.2035730294363,8,442.2035730294363,8,8,1.8334359385959251,0.4318394267865589,128.0,4.0,190.9609375,5.098035867003577,8,8.0,8.0,2.8284271247461903,0.5586985513435121,0.5586985513435121
forest,1,1024,8192,0,1.0,True,None,1,False,4,-2,0.2666015625,0.1728520284021851,0.3045654296875,0.19612902222340106,16.0,1024.0,341.6108897561669,16,341.6108897561669,16,16,2.405931283638606,0.33360438452750674,64.0,2.0,113.962890625,4.525540521960865,16,16.0,16.0,4.0,0.5719685057744122,0.5719685057744122
forest,1,1024,8192,0,1.0,True,None,1,False,5,-2,0.2451171875,0.15879352971089297,0.31298828125,0.20267022729382725,30.0,1024.0,263.16914712785007,30,263.16914712785007,19,12,2.9424286463612206,0.2570011202420411,34.13333333333333,1.0666666666666667,67.634765625,3.98904315923822,30,30.0,30.0,5.477225575051661,0.5841288130961422,0.5841288130961422
forest,1,1024,8192,0,1.0,True,None,1,False,6,-2,0.2177734375,0.14173106662582424,0.3175048828125,0.21678024785410838,52.0,1024.0,217.3798518722469,52,217.3798518722469,2,0,3.398201095971949,0.2122850115939911,19.692307692307686,0.6153846153846154,46.146484375,3.5332707096275238,52,52.0,52.0,7.211102550927978,0.5985557061578943,0.5985557061578943
forest,1,1024,8192,0,1.0,True,None,1,False,7,-2,0.189453125,0.12224919222347155,0.3319091796875,0.23517206817995942,80.0,1024.0,194.1288232076834,80,194.1288232076834,1,0,3.7181252359191275,0.18957892891375333,12.800000000000002,0.40000000000000013,36.802734375,3.2133465696803007,80,80.0,80.0,8.944271909999157,0.6146143569560741,0.6146143569560741
forest,1,1024,8192,0,1.0,True,None,1,False,8,-2,0.162109375,0.10473429595284081,0.3270263671875,0.2494853031894657,113.0,1024.0,176.13063333787227,113,176.13063333787227,1,0,4.030902163679855,0.1720025716190159,9.061946902654867,0.28318584070796465,30.294921875,2.9005696419195943,113,113.0,113.0,10.63014581273465,0.6287016017532951,0.6287016017532951
forest,1,1024,8192,0,1.0,True,None,1,False,9,-2,0.130859375,0.08426386210682367,0.3304443359375,0.2647725741006289,145.0,1024.0,153.17310468878014,145,153.17310468878014,1,0,4.272230248080701,0.14958311004763686,7.062068965517241,0.2206896551724138,22.912109375,2.6592415575187496,145,145.0,145.00000000000003,12.041594578792298,0.6447760370029088,0.6447760370029088
forest,1,1024,8192,0,1.0,True,None,1,False,10,-2,0.1103515625,0.0687459240683439,0.3414306640625,0.28538638692431545,169.0,1024.0,141.76741515595182,169,141.76741515595182,1,0,4.456883143497319,0.1384447413632342,6.059171597633138,0.1893491124260355,19.626953125,2.474588662102119,169,169.0,169.0,13.0,0.6566993801821777,0.6566993801821777
forest,1,1024,8192,0,1.0,True,None,1,False,11,-2,0.08984375,0.0559471827748699,0.3377685546875,0.29764293763509436,189.0,1024.0,133.8656042454521,189,133.8656042454521,0,0,4.590968885889953,0.1307281291459493,5.417989417989418,0.16931216931216928,17.5,2.340502919709494,189,189.0,189.0,13.74772708486752,0.6663728815198965,0.6663728815198965
forest,1,1024,8192,0,1.0,True,None,1,False,12,-2,0.072265625,0.043796964597103506,0.3494873046875,0.3135803921925157,208.0,1024.0,124.76377679438852,208,124.76377679438852,0,0,4.742041102325432,0.12183962577577004,4.923076923076922,0.15384615384615385,15.201171875,2.1894307032740175,208,208.0,208.0,14.422205101855956,0.6754280386561522,0.6754280386561522
forest,1,1024,8192,0,1.0,True,None,1,False,13,-2,0.05859375,0.034294826236803716,0.3507080078125,0.3220068233425276,227.0,1024.0,120.02499739637572,227,120.02499739637572,0,0,4.8471513186161825,0.11721191151989817,4.511013215859031,0.1409691629955947,14.068359375,2.084320486983268,227,227.0,227.0,15.066519173319364,0.6824259474574486,0.6824259474574486
forest,1,1024,8192,0,1.0,True,None,1,False,14,-2,0.044921875,0.024937274639423065,0.350830078125,0.33011235532942484,242.0,1024.0,117.39676315810415,242,117.39676315810415,0,0,4.9045984709820685,0.11464527652158608,4.231404958677686,0.1322314049586777,13.458984375,2.026873334617383,242,242.0,242.0,15.556349186104047,0.689247941861691,0.689247941861691
forest,1,1024,8192,0,1.0,True,None,1,False,15,-2,0.0341796875,0.02032433712121209,0.356201171875,0.3367722198654454,251.0,1024.0,115.51623262554921,251,115.51623262554921,0,0,4.9497341918282665,0.1128088209233879,4.079681274900397,0.12749003984063742,13.03125,1.9817376137711862,251,251.0,251.0,15.84297951775486,0.6925862133184488,0.6925862133184488
forest,1,1024,8192,0,1.0,True,None,1,False,16,-2,0.01953125,0.013096668956043946,0.348876953125,0.33918426990707584,263.0,1024.0,108.8852607105296,263,108.8852607105296,0,0,5.02426870673549,0.10633326241262656,3.893536121673003,0.12167300380228135,11.578125,1.907203098863962,263,263.0,263.0,16.217274740226856,0.697784587852122,0.697784587852122
