model,rep,n_train_samples,n_test_samples,dims,onehot,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,2,1000,8192,100,True,None,1,sqrt,False,15,-2,0.0,0.0,0.2274,0.2274,112.0,1000.0,253.3021910682969,112,253.3021910682969,3.5538290459072055,112
shallow_forest,2,1000,8192,100,True,None,1,sqrt,False,40,-2,0.0,0.0,0.1702,0.1702,82.0,1000.0,400.49469409718773,82,400.49469409718773,2.6977824495946496,82
shallow_forest,2,1000,8192,100,True,None,1,sqrt,False,None,-2,0.0,0.0,0.235,0.235,116.0,1000.0,249.70782927253202,116,249.70782927253202,3.4940360136561575,116
shallow_forest,2,1000,8192,100,True,None,2,sqrt,False,2,-2,0.22,0.168,0.2473,0.1771,8.0,1000.0,455.44319074940614,16,318.6440019834047,1.7409560841936025,8
shallow_forest,2,1000,8192,100,True,None,2,sqrt,False,5,-2,0.058,0.051,0.1687,0.1125,53.0,999.9999999999999,324.9369169546606,134,242.09502266672067,2.8632850277247965,53
shallow_forest,2,1000,8192,100,True,None,2,sqrt,False,15,-2,0.0,0.0,0.25,0.1635,231.0,999.9999999999999,174.19098713768165,503,91.23595782365635,4.336143757968516,231
shallow_forest,2,1000,8192,100,True,None,2,sqrt,False,40,-2,0.0,0.0,0.1934,0.1291,198.0,1000.0,214.0105137604225,395,117.21774609674083,3.987191588133091,198
shallow_forest,2,1000,8192,100,True,None,2,sqrt,False,None,-2,0.0,0.0,0.2141,0.1328,213.0,1000.0000000000001,201.22499844701207,419,105.92450141492289,4.017994459579663,213
shallow_forest,2,1000,8192,100,True,None,3,sqrt,False,2,-2,0.152,0.154,0.208,0.1726,12.0,1000.0,447.7861592819104,51,219.40829519414257,1.9073073241202279,12
shallow_forest,2,1000,8192,100,True,None,3,sqrt,False,5,-2,0.052,0.051,0.1262,0.0988,81.0,1000.0,244.6807443724713,475,92.68225288586807,3.3815856319986404,81
shallow_forest,2,1000,8192,100,True,None,3,sqrt,False,15,-2,0.0,0.0,0.1641,0.1259,361.0,1000.0,150.6983742447144,817,42.44997055358225,4.589321636922245,361
