model,rep,n_train_samples,n_test_samples,save_path,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,entropy,rows_mean_L2,cols_mean_L1,cols_mean_L2,n_parameters,depth,width
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,51,6000,0.01,32,0,0,True,True,0.009000000000000008,0.0029102232858624183,0.11380000000000001,0.8291327639491973,17146.0,6949.6424368452235,1399,385.185669515365,48,1399,123103.83235103608,1.1628942879729007,336.1960784313726,5.637041769201981,40555,1,51
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,52,6000,0.01,32,0,0,True,True,0.005750000000000033,0.0027881594673129263,0.1109,0.6947957464953397,21617.999999999996,9362.68337604129,1699,340.2851745227817,45,1699,162576.31166443694,1.363055207979486,415.7307692307693,7.069446301225943,41350,1,52
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,54,6000,0.01,32,0,0,True,True,0.008750000000000036,0.002246943642603942,0.10540000000000005,0.7565256490034897,18627.0,7812.971713759112,1481,361.8065781602098,49,1481,135895.3973093398,1.157046644478951,344.94444444444446,6.012304484357061,42940,1,54
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,56,6000,0.01,32,0,0,True,True,0.0024999999999999467,0.0018237364009966637,0.1018,0.5530481008834985,23203.0,6841.167371143611,2521,205.0609665440988,54,2521,161887.4059455923,1.037200107259925,414.3392857142857,7.091354502030581,44530,1,56
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,58,6000,0.01,32,0,0,True,True,0.00824999999999998,0.002292579498802498,0.10719999999999996,0.30994710165656786,16680.0,5055.084173384257,1705,394.8999873385665,48,1705,113179.19524617496,0.8104202613459266,287.58620689655174,5.181371553668973,46120,1,58
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,60,6000,0.01,32,0,0,True,True,0.005750000000000033,0.00209437925239189,0.10709999999999997,0.5703154663775167,23109.0,8395.356037715139,2289,275.16540480227525,58,2289,166117.63746200918,1.1699189341574057,385.15000000000003,6.890956231015967,47710,1,60
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,62,6000,0.01,32,0,0,True,True,0.004249999999999976,0.0016877270549544073,0.10099999999999998,0.6957264955302965,23543.000000000007,8355.44487145957,2381,238.47851056227267,60,2381,168778.70243665078,1.2598785407728792,379.7258064516128,6.482245824258644,49300,1,62
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,64,6000,0.01,32,0,0,True,True,0.007249999999999979,0.002084076449203146,0.10640000000000005,0.5031680961201161,21116.0,7366.18978848631,2118,327.2521963257084,54,2118,149879.31376075657,1.0499271998572093,329.9375,6.048429225323712,50890,1,64
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,128,6000,0.01,32,0,0,True,True,0.0007500000000000284,0.0009963018279621127,0.0797,0.5934636817396,59106.00000000001,18286.496055833115,3890,69.62758074211685,125,3890,442976.9077173185,1.9341006954137625,461.765625,7.829808950614631,101770,1,128
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,256,6000,0.01,32,0,0,True,True,0.0,0.0004823185533109974,0.06589999999999996,0.4170412227204216,209700.00000000003,73462.3141889772,4000,63.245553203367585,256,0,1777648.4546588087,4.139904120266555,819.140625,13.337806968409856,203530,1,256
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,512,6000,0.01,32,0,0,True,True,0.0,0.00012575863240620717,0.05620000000000003,0.19479850004290197,565972.0000000001,236450.34211436438,4000,63.245553203367585,512,0,5391463.882916262,7.5860312746521155,1105.4140625,17.661080946884375,407050,1,512
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,1024,6000,0.01,32,0,0,True,True,0.0,2.4483737172974538e-05,0.05179999999999996,0.23244947648140987,1592415.9999999998,843728.0755219657,4000,63.245553203367585,1024,0,17472370.47143753,14.468402831688092,1555.09375,24.630647040853862,814090,1,1024
