model,rep,n_train_samples,n_test_samples,recurse_level,angle_params,cov_scale,onehot,noise_dims,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,3,1000,8192,0,45,1,True,0,None,1,1,False,2,-2,0.349,0.218,0.3381,0.2161,4.0,1000.0,763.8756443296252,4,763.8756443296252,0.8205058096260849,4
shallow_forest,3,1000,8192,0,45,1,True,0,None,1,1,False,5,-2,0.298,0.182,0.3195,0.2123,25.0,1000.0,501.5814988613515,25,501.5814988613515,2.030927570223878,25
shallow_forest,3,1000,8192,0,45,1,True,0,None,1,1,False,15,-2,0.057,0.034,0.3704,0.3394,247.0,1000.0,116.25833303466896,247,116.25833303466896,4.8687816827480175,247
shallow_forest,3,1000,8192,0,45,1,True,0,None,1,1,False,40,-2,0.0,0.0,0.3605,0.3605,334.0,1000.0,101.00495037373169,334,101.00495037373169,5.251568434788728,334
shallow_forest,3,1000,8192,0,45,1,True,0,None,2,1,False,2,-2,0.276,0.199,0.3121,0.2114,8.0,1000.0,638.8794878535386,9,560.2338797323846,1.1856177402509738,8
shallow_forest,3,1000,8192,0,45,1,True,0,None,2,1,False,5,-2,0.25,0.164,0.2987,0.1984,51.0,1000.0,421.4457260431051,63,390.39979508191345,2.374147375865233,51
shallow_forest,3,1000,8192,0,45,1,True,0,None,2,1,False,15,-2,0.049,0.043,0.3683,0.2578,423.0,1000.0,121.53188881935472,469,93.97872099576584,4.9904722825458085,423
shallow_forest,3,1000,8192,0,45,1,True,0,None,2,1,False,40,-2,0.0,0.0,0.356,0.3061,643.0,1000.0000000000001,97.28566184181511,524,87.68124086713189,5.486765654133178,643
shallow_forest,3,1000,8192,0,45,1,True,0,None,3,1,False,2,-2,0.266,0.2,0.3011,0.2106,12.0,1000.0000000000001,635.7717969348575,15,470.13827753119614,1.3132389398199118,12
shallow_forest,3,1000,8192,0,45,1,True,0,None,3,1,False,5,-2,0.249,0.163,0.3116,0.1972,64.0,1000.0000000000002,381.2791336773858,64,318.93886561534015,2.579015387892191,64
shallow_forest,3,1000,8192,0,45,1,True,0,None,3,1,False,15,-2,0.064,0.047,0.355,0.2505,661.0,1000.0000000000002,134.5874354379999,510,85.55699854482975,5.056228380740344,661
shallow_forest,3,1000,8192,0,45,1,True,0,None,3,1,False,40,-2,0.0,0.0,0.3588,0.2863,974.0,1000.0000000000003,87.91536333947053,625,73.2120208708925,5.642741490188568,974
shallow_forest,3,1000,8192,0,45,1,True,0,None,4,1,False,2,-2,0.299,0.205,0.3245,0.2164,16.0,1000.0000000000002,662.1378255318149,6,594.8512419084287,1.1135977345046637,16
shallow_forest,3,1000,8192,0,45,1,True,0,None,4,1,False,5,-2,0.254,0.164,0.2998,0.1947,101.0,1000.0,384.42278158298586,126,259.5765782962708,2.6944780602046636,101
