model,rep,n_train_samples,n_estimators,max_features,splitter,bootstrap,max_depth,n_jobs,train_01_error,test_01_error,irm_l2,activated_regions,regions_l2,n_total_leaves
forest,1,4096,4,1,random,False,15,-1,0.138671875,0.2976,256.873266417508,3309,81.7679643870385,3140
forest,1,4096,4,1,random,False,20,-1,0.00146484375,0.32210000000000005,103.89357535478311,3912,67.54257916307313,8286
forest,1,4096,4,1,random,False,None,-1,0.0,0.32509999999999994,94.96446703899308,3929,67.43886120034945,10020
forest,1,4096,5,1,random,False,2,-1,0.443603515625,0.44810000000000005,2902.154000048931,33,1925.610033210255,20
forest,1,4096,5,1,random,False,3,-1,0.407470703125,0.41000000000000003,2992.334740633136,41,1934.174242409405,35
forest,1,4096,5,1,random,False,4,-1,0.323486328125,0.32820000000000005,2005.4599671895621,123,1109.5161107437793,60
forest,1,4096,5,1,random,False,6,-1,0.349853515625,0.3468,1557.4988667732632,329,608.9203560400982,159
forest,1,4096,5,1,random,False,8,-1,0.255126953125,0.27659999999999996,849.900605953425,1312,195.13585011473432,548
forest,1,4096,5,1,random,False,10,-1,0.239013671875,0.2783,562.035870741361,1833,187.98936140111763,1133
forest,1,4096,5,1,random,False,15,-1,0.1220703125,0.28590000000000004,250.54899720413962,3562,75.8946638440411,4264
forest,1,4096,5,1,random,False,20,-1,0.002685546875,0.3175,101.49640387718178,3978,66.06057825965497,10280
forest,1,4096,5,1,random,False,None,-1,0.0,0.31889999999999996,92.66930451881035,3988,66.03029607687671,12530
forest,1,4096,10,1,random,False,2,-1,0.40478515625,0.40959999999999996,2681.5768905627215,86,1044.2154950009126,40
forest,1,4096,10,1,random,False,3,-1,0.348388671875,0.346,2593.7111558537026,249,889.5718071072167,77
forest,1,4096,10,1,random,False,4,-1,0.290771484375,0.28359999999999996,2091.489655723884,447,475.39667647134434,142
forest,1,4096,10,1,random,False,6,-1,0.27294921875,0.27590000000000003,1366.5227696602801,878,284.668227942635,371
forest,1,4096,10,1,random,False,8,-1,0.265380859375,0.2782,1053.314577892094,1737,167.37383308032364,846
forest,1,4096,10,1,random,False,10,-1,0.2392578125,0.27359999999999995,618.5417205007276,2904,94.88940931421168,1859
forest,1,4096,10,1,random,False,15,-1,0.085693359375,0.28359999999999996,213.63099026124473,4026,65.14598989960932,9066
forest,1,4096,10,1,random,False,20,-1,0.00048828125,0.30589999999999995,98.08812364399678,4070,64.4670458451448,20164
