model,rep,n_train_samples,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,train_01_error,test_01_error,irm_l2_pen,activated_regions_pen,regions_l2_pen,irm_l2_all,activated_regions_all,regions_l2_all,n_parameters,depth,width
network,1,4096,32,1000,0.01,128,0,0.268310546875,0.26839999999999997,241.64188742395734,49,910.6799657398859,241.64188742395734,49,910.6799657398859,162,1,32
network,1,4096,32;32,1000,0.01,128,0,0.258056640625,0.281,90.26329487861466,115,547.240349389553,278.5493580553488,465,319.1864658784893,1218,2,32
network,1,4096,32;32;32,1000,0.01,128,0,0.245849609375,0.2881,44.80348802339499,115,777.5667173947197,269.71752641202124,1015,230.51247254758255,2274,3,32
network,1,4096,32;32;32;32;32,1000,0.01,128,0,0.243408203125,0.2763,24.93289352817879,8,2404.3231895899517,203.931254118269,1173,223.77220560203628,4386,5,32
network,1,4096,64,1000,0.01,128,0,0.271240234375,0.26890000000000003,132.28552622724365,82,842.1341935819967,132.28552622724365,82,842.1341935819967,322,1,64
network,1,4096,64;64,1000,0.01,128,0,0.25244140625,0.2804,47.04516898476068,239,471.14329030561396,175.4679656176813,731,258.09300649184587,4482,2,64
network,1,4096,64;64;64,1000,0.01,128,0,0.24658203125,0.2784,20.560868043564238,113,1124.1681368905631,134.77893694317748,873,254.9039034616771,8642,3,64
network,1,4096,128,1000,0.01,128,0,0.271240234375,0.2691,63.216666020860096,94,786.5570545103515,63.216666020860096,94,786.5570545103515,642,1,128
network,1,4096,128;128,1000,0.01,128,0,0.250244140625,0.2721,20.974044745315947,121,764.345471629158,93.97925598460509,694,277.7264841530242,17154,2,128
network,1,4096,256,1000,0.01,128,0,0.268310546875,0.27090000000000003,33.14411967555306,83,745.6111587147822,33.14411967555306,83,745.6111587147822,1282,1,256
network,2,4096,2,1000,0.01,128,0,0.38037109375,0.3882,1266.1412835856825,4,2578.883091572784,1266.1412835856825,4,2578.883091572784,12,1,2
network,2,4096,2;2,1000,0.01,128,0,0.377685546875,0.3882,998.9999999999997,2,3997.2510554129576,1292.0796705311936,6,2538.8714028087356,18,2,2
network,2,4096,2;2;2,1000,0.01,128,0,0.41162109375,0.4085,186.66666666666666,2,3179.7760927461545,762.2268727587315,7,2906.8797704755516,24,3,2
network,2,4096,2;2;2;2;2,1000,0.01,128,0,0.383544921875,0.3851,409.5999999999999,1,4095.999999999998,1573.5241625091107,8,1919.5311927655666,36,5,2
network,2,4096,2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,2185.583725092167,14,1509.6343928249648,48,7,2
network,2,4096,2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1686.077653403242,6,2330.9864864473157,72,11,2
network,2,4096,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1084.7512268019998,20,1675.2366996935086,108,17,2
network,2,4096,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1759.7802147995644,8,1942.600833933724,156,25,2
network,2,4096,4,1000,0.01,128,0,0.253173828125,0.26990000000000003,1183.5424580470274,10,1596.6959635447195,1183.5424580470274,10,1596.6959635447195,22,1,4
network,2,4096,4;4,1000,0.01,128,0,0.258544921875,0.27659999999999996,905.6053828103056,3,3508.2414398099813,1569.6108942585092,18,1574.105460253537,42,2,4
network,2,4096,4;4;4,1000,0.01,128,0,0.259033203125,0.2711,483.75773752066334,3,2931.8236645473744,1740.618432562915,39,1094.8826421128429,62,3,4
network,2,4096,4;4;4;4;4,1000,0.01,128,0,0.254150390625,0.2704,153.7882960436196,3,2795.7625077963976,1089.542906452059,114,690.4216103222725,102,5,4
network,2,4096,4;4;4;4;4;4;4,1000,0.01,128,0,0.25,0.2691,159.40415999744098,3,2395.8952397799035,1065.9557050135902,90,676.7968676050444,142,7,4
network,2,4096,4;4;4;4;4;4;4;4;4;4;4,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1415.625042462554,49,1315.8434557347616,222,11,4
network,2,4096,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1365.5326470834977,79,788.8650074632542,342,17,4
network,2,4096,8,1000,0.01,128,0,0.255615234375,0.26859999999999995,1497.7161571873362,23,1433.1964275702057,1497.7161571873362,23,1433.1964275702057,42,1,8
network,2,4096,8;8,1000,0.01,128,0,0.251708984375,0.2663,562.3704538324807,18,1581.3709242299858,1031.7205517362736,91,1007.2378070743772,114,2,8
network,2,4096,8;8;8,1000,0.01,128,0,0.247314453125,0.2701,212.14491165631705,34,1354.2089942102737,811.4045628312267,272,691.5287412682136,186,3,8
network,2,4096,8;8;8;8;8,1000,0.01,128,0,0.24462890625,0.2731,120.38406507922882,10,2138.6149723594476,676.3457122655542,508,616.1347255268121,330,5,8
network,2,4096,8;8;8;8;8;8;8,1000,0.01,128,0,0.244384765625,0.27090000000000003,63.91511979387434,3,2534.413936199058,685.2812281152487,514,453.4886988669067,474,7,8
network,2,4096,8;8;8;8;8;8;8;8;8;8;8,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1386.7910919350666,429,375.80580091318444,762,11,8
network,2,4096,16,1000,0.01,128,0,0.250732421875,0.2713,402.62152668480115,27,1225.975529935243,402.62152668480115,27,1225.975529935243,82,1,16
network,2,4096,16;16,1000,0.01,128,0,0.240234375,0.2714,178.8707088059699,85,948.4323908429108,424.11096697054126,276,570.1350717154664,354,2,16
network,2,4096,16;16;16,1000,0.01,128,0,0.236083984375,0.27669999999999995,71.39407035076513,39,1766.8989784365147,443.62461256675124,509,396.42401541783516,626,3,16
network,2,4096,16;16;16;16;16,1000,0.01,128,0,0.23583984375,0.27359999999999995,41.60847081725066,5,2269.487607368676,358.34494096994035,874,303.5852433831394,1170,5,16
network,2,4096,16;16;16;16;16;16;16,1000,0.01,128,0,0.24951171875,0.2704,48.220356760630146,6,2144.554965488178,313.09214510512777,659,366.23762777737625,1714,7,16
network,2,4096,32,1000,0.01,128,0,0.255615234375,0.26870000000000005,217.96532031351913,30,1188.1447723236424,217.96532031351913,30,1188.1447723236424,162,1,32
network,2,4096,32;32,1000,0.01,128,0,0.239990234375,0.27390000000000003,80.05392622173895,101,1021.9275903898479,287.9099243022351,390,447.3052648918857,1218,2,32
network,2,4096,32;32;32,1000,0.01,128,0,0.23779296875,0.27249999999999996,63.38102645026261,90,834.944309520102,200.36110548493647,704,290.7473129712466,2274,3,32
network,2,4096,32;32;32;32;32,1000,0.01,128,0,0.236328125,0.27270000000000005,25.02089751587661,8,2135.6287130491573,197.58886558884714,1012,249.110417285187,4386,5,32
network,2,4096,64,1000,0.01,128,0,0.2548828125,0.26870000000000005,115.34971452337885,43,1048.871774813299,115.34971452337885,43,1048.871774813299,322,1,64
network,2,4096,64;64,1000,0.01,128,0,0.235107421875,0.275,43.10556627339445,131,715.3544575942755,126.30007805538722,563,320.5214501402363,4482,2,64
network,2,4096,64;64;64,1000,0.01,128,0,0.232421875,0.275,19.45526329724884,111,1638.2496757210117,130.00747153175408,890,279.4208295743179,8642,3,64
network,2,4096,128,1000,0.01,128,0,0.25537109375,0.2724,65.33649753511625,52,1004.7268285459486,65.33649753511625,52,1004.7268285459486,642,1,128
network,2,4096,128;128,1000,0.01,128,0,0.23046875,0.27649999999999997,18.879103864965103,267,639.9796871776477,71.43510234076483,843,246.2072297882416,17154,2,128
network,2,4096,256,1000,0.01,128,0,0.256103515625,0.26859999999999995,37.69521939755339,65,890.5560060995602,37.69521939755339,65,890.5560060995602,1282,1,256
network,3,4096,2,1000,0.01,128,0,0.38525390625,0.3929,1035.3969045733133,4,2591.2811503192775,1035.3969045733133,4,2591.2811503192775,12,1,2
network,3,4096,2;2,1000,0.01,128,0,0.324951171875,0.32030000000000003,756.25,2,3208.9976628224586,1940.0253058916535,5,2249.8359940226755,18,2,2
network,3,4096,2;2;2,1000,0.01,128,0,0.3828125,0.385,348.0699562508153,4,2524.044769808967,1435.3029587279932,17,1827.4878932567517,24,3,2
network,3,4096,2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,855.8970966185129,5,1915.5030670818564,36,5,2
network,3,4096,2;2;2;2;2;2;2,1000,0.01,128,0,0.39501953125,0.3923,292.5714285714283,1,4095.999999999998,1938.1094735934441,14,2521.984139521896,48,7,2
network,3,4096,2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1431.5541329398584,13,1918.7006019699897,72,11,2
network,3,4096,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1568.078529905808,7,1734.2877500576426,108,17,2
network,3,4096,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,2347.456407433373,7,2222.142209670659,156,25,2
network,3,4096,4,1000,0.01,128,0,0.262451171875,0.2693,2098.0740275309627,10,1792.9841047817465,2098.0740275309627,10,1792.9841047817465,22,1,4
network,3,4096,4;4,1000,0.01,128,0,0.2587890625,0.26949999999999996,594.3124572773146,5,2558.8704539307955,1317.6668359737225,21,1233.1844955236827,42,2,4
network,3,4096,4;4;4,1000,0.01,128,0,0.262451171875,0.26849999999999996,275.43799715685157,4,3146.402072208827,1433.0506237665784,57,1129.40161147397,62,3,4
network,3,4096,4;4;4;4;4,1000,0.01,128,0,0.261474609375,0.27159999999999995,194.95000000000007,2,3903.973616714129,1293.8140225704776,111,945.0365072313344,102,5,4
network,3,4096,4;4;4;4;4;4;4,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1744.140428824233,58,1129.655699759887,142,7,4
network,3,4096,4;4;4;4;4;4;4;4;4;4;4,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,2036.8057342745171,15,1863.8250990905774,222,11,4
network,3,4096,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1736.5325076388597,38,1493.6606040195345,342,17,4
